#,Date-Time (EDT),Ch: 1 - Temperature   (°C ),Button Down,Button Up,Host Connected,End of File
279,06/08/2023 00:37:51,22.13,,,,
280,06/08/2023 00:47:51,22.13,,,,
281,06/08/2023 00:57:51,22.09,,,,
282,06/08/2023 01:07:51,22.05,,,,
283,06/08/2023 01:17:51,22.01,,,,
284,06/08/2023 01:27:51,22.01,,,,
285,06/08/2023 01:37:51,22.01,,,,
286,06/08/2023 01:47:51,21.96,,,,
287,06/08/2023 01:57:51,21.92,,,,
288,06/08/2023 02:07:51,21.92,,,,
289,06/08/2023 02:17:51,21.92,,,,
290,06/08/2023 02:27:51,21.92,,,,
291,06/08/2023 02:37:51,21.88,,,,
292,06/08/2023 02:47:51,21.83,,,,
293,06/08/2023 02:57:51,21.79,,,,
294,06/08/2023 03:07:51,21.83,,,,
295,06/08/2023 03:17:51,21.83,,,,
296,06/08/2023 03:27:51,21.79,,,,
297,06/08/2023 03:37:51,21.79,,,,
298,06/08/2023 03:47:51,21.75,,,,
299,06/08/2023 03:57:51,21.75,,,,
300,06/08/2023 04:07:51,21.75,,,,
301,06/08/2023 04:17:51,21.70,,,,
302,06/08/2023 04:27:51,21.70,,,,
303,06/08/2023 04:37:51,21.70,,,,
304,06/08/2023 04:47:51,21.66,,,,
305,06/08/2023 04:57:51,21.66,,,,
306,06/08/2023 05:07:51,21.66,,,,
307,06/08/2023 05:17:51,21.62,,,,
308,06/08/2023 05:27:51,21.62,,,,
309,06/08/2023 05:37:51,21.58,,,,
310,06/08/2023 05:47:51,21.58,,,,
311,06/08/2023 05:57:51,21.53,,,,
312,06/08/2023 06:07:51,21.53,,,,
313,06/08/2023 06:17:51,21.49,,,,
314,06/08/2023 06:27:51,21.49,,,,
315,06/08/2023 06:37:51,21.49,,,,
316,06/08/2023 06:47:51,21.45,,,,
317,06/08/2023 06:57:51,21.45,,,,
318,06/08/2023 07:07:51,21.45,,,,
319,06/08/2023 07:17:51,21.45,,,,
320,06/08/2023 07:27:51,21.45,,,,
321,06/08/2023 07:37:51,21.45,,,,
322,06/08/2023 07:47:51,21.45,,,,
323,06/08/2023 07:57:51,21.36,,,,
324,06/08/2023 08:07:51,21.36,,,,
325,06/08/2023 08:17:51,21.36,,,,
326,06/08/2023 08:27:51,21.36,,,,
327,06/08/2023 08:37:51,21.36,,,,
328,06/08/2023 08:47:51,21.36,,,,
329,06/08/2023 08:57:51,21.36,,,,
330,06/08/2023 09:07:51,21.40,,,,
331,06/08/2023 09:17:51,21.40,,,,
332,06/08/2023 09:27:51,21.45,,,,
333,06/08/2023 09:37:51,21.45,,,,
334,06/08/2023 09:47:51,21.45,,,,
335,06/08/2023 09:57:51,21.45,,,,
336,06/08/2023 10:07:51,21.45,,,,
337,06/08/2023 10:17:51,21.49,,,,
338,06/08/2023 10:27:51,21.49,,,,
339,06/08/2023 10:37:51,21.49,,,,
340,06/08/2023 10:47:51,21.49,,,,
341,06/08/2023 10:57:51,21.49,,,,
342,06/08/2023 11:07:51,21.53,,,,
343,06/08/2023 11:17:51,21.53,,,,
344,06/08/2023 11:27:51,21.62,,,,
345,06/08/2023 11:37:51,21.58,,,,
346,06/08/2023 11:47:51,21.62,,,,
347,06/08/2023 11:57:51,21.66,,,,
348,06/08/2023 12:07:51,21.66,,,,
349,06/08/2023 12:17:51,21.66,,,,
350,06/08/2023 12:27:51,21.66,,,,
351,06/08/2023 12:37:51,21.70,,,,
352,06/08/2023 12:47:51,21.66,,,,
353,06/08/2023 12:57:51,21.70,,,,
354,06/08/2023 13:07:51,21.70,,,,
355,06/08/2023 13:17:51,21.75,,,,
356,06/08/2023 13:27:51,21.70,,,,
357,06/08/2023 13:37:51,21.62,,,,
358,06/08/2023 13:47:51,21.58,,,,
359,06/08/2023 13:57:51,21.49,,,,
360,06/08/2023 14:07:51,21.45,,,,
361,06/08/2023 14:17:51,21.45,,,,
362,06/08/2023 14:27:51,21.40,,,,
363,06/08/2023 14:37:51,21.36,,,,
364,06/08/2023 14:47:51,21.36,,,,
365,06/08/2023 14:57:51,21.40,,,,
366,06/08/2023 15:07:51,21.40,,,,
367,06/08/2023 15:17:51,21.45,,,,
368,06/08/2023 15:27:51,21.49,,,,
369,06/08/2023 15:37:51,21.53,,,,
370,06/08/2023 15:47:51,21.53,,,,
371,06/08/2023 15:57:51,21.58,,,,
372,06/08/2023 16:07:51,21.66,,,,
373,06/08/2023 16:17:51,21.66,,,,
374,06/08/2023 16:27:51,21.70,,,,
375,06/08/2023 16:37:51,21.70,,,,
376,06/08/2023 16:47:51,21.75,,,,
377,06/08/2023 16:57:51,21.75,,,,
378,06/08/2023 17:07:51,21.79,,,,
379,06/08/2023 17:17:51,21.83,,,,
380,06/08/2023 17:27:51,21.83,,,,
381,06/08/2023 17:37:51,21.88,,,,
382,06/08/2023 17:47:51,21.92,,,,
383,06/08/2023 17:57:51,21.88,,,,
384,06/08/2023 18:07:51,21.83,,,,
385,06/08/2023 18:17:51,21.79,,,,
386,06/08/2023 18:27:51,21.66,,,,
387,06/08/2023 18:37:51,21.58,,,,
388,06/08/2023 18:47:51,21.45,,,,
389,06/08/2023 18:57:51,21.36,,,,
390,06/08/2023 19:07:51,21.28,,,,
391,06/08/2023 19:17:51,21.19,,,,
392,06/08/2023 19:27:51,21.23,,,,
393,06/08/2023 19:37:51,21.15,,,,
394,06/08/2023 19:47:51,21.19,,,,
395,06/08/2023 19:57:51,21.19,,,,
396,06/08/2023 20:07:51,21.19,,,,
397,06/08/2023 20:17:51,21.19,,,,
398,06/08/2023 20:27:51,21.23,,,,
399,06/08/2023 20:37:51,21.28,,,,
400,06/08/2023 20:47:51,21.28,,,,
401,06/08/2023 20:57:51,21.23,,,,
402,06/08/2023 21:07:51,21.28,,,,
403,06/08/2023 21:17:51,21.28,,,,
404,06/08/2023 21:27:51,21.28,,,,
405,06/08/2023 21:37:51,21.28,,,,
406,06/08/2023 21:47:51,21.28,,,,
407,06/08/2023 21:57:51,21.28,,,,
408,06/08/2023 22:07:51,21.28,,,,
409,06/08/2023 22:17:51,21.28,,,,
410,06/08/2023 22:27:51,21.28,,,,
411,06/08/2023 22:37:51,21.28,,,,
412,06/08/2023 22:47:51,21.28,,,,
413,06/08/2023 22:57:51,21.23,,,,
414,06/08/2023 23:07:51,21.23,,,,
415,06/08/2023 23:17:51,21.19,,,,
416,06/08/2023 23:27:51,21.23,,,,
417,06/08/2023 23:37:51,21.23,,,,
418,06/08/2023 23:47:51,21.23,,,,
419,06/08/2023 23:57:51,21.23,,,,
420,06/09/2023 00:07:51,21.19,,,,
421,06/09/2023 00:17:51,21.23,,,,
422,06/09/2023 00:27:51,21.19,,,,
423,06/09/2023 00:37:51,21.15,,,,
424,06/09/2023 00:47:51,21.19,,,,
425,06/09/2023 00:57:51,21.19,,,,
426,06/09/2023 01:07:51,21.15,,,,
427,06/09/2023 01:17:51,21.15,,,,
428,06/09/2023 01:27:51,21.19,,,,
429,06/09/2023 01:37:51,21.15,,,,
430,06/09/2023 01:47:51,21.10,,,,
431,06/09/2023 01:57:51,21.10,,,,
432,06/09/2023 02:07:51,21.15,,,,
433,06/09/2023 02:17:51,21.19,,,,
434,06/09/2023 02:27:51,21.10,,,,
435,06/09/2023 02:37:51,21.10,,,,
436,06/09/2023 02:47:51,21.15,,,,
437,06/09/2023 02:57:51,21.10,,,,
