Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
8.25,8.2488521639541155,24.022367591394474,47143.987835367516,48084.160508440342,31.317473783423008,1528.1663201210306,1020.8872206854376
8.5499999999999989,8.5486909458618978,23.842311382290983,47118.988281249556,48235.829701472459,31.42540829973165,1527.8358466861096,1021.0224293664938
8.85,8.84848879799503,23.63306045532098,47066.318359374774,48389.221158119828,31.534028705884925,1527.4302249401749,1021.1663811606379
9.1499999999999986,9.1482472742188552,23.338962554931051,46856.244140624876,48466.331985692435,31.585421641320846,1526.7432790680896,1021.2910747865076
9.45,9.4479703242990567,23.005823612212872,46577.512695312435,48512.356616940669,31.613023359131937,1525.9239102365561,1021.4081796855992
9.75,9.74766628765396,22.6757583618163,46219.787109374956,48473.048670362172,31.577961588373235,1525.0362028771876,1021.4760795374543
10.049999999999999,10.047357201998116,22.441814899444545,45827.621093749993,48298.764698277329,31.446156542277325,1524.2864828594456,1021.4429839290265
10.35,10.347048075656765,22.122097969055165,45431.804687499993,48206.474929591226,31.371982293840116,1523.369104924752,1021.4767455927961
10.649999999999999,10.646726965677093,21.776935100555416,45028.474609375,48131.065569578481,31.309037807690746,1522.3883589773418,1021.5250660427811
10.95,10.946387458614467,21.453644752502438,44708.054687499993,48121.148432698159,31.293698012464933,1521.5099365787874,1021.6025623377461
11.25,11.246010035076045,20.922247886657711,44277.689453124993,48209.409916527045,31.343300374820689,1520.1287536187772,1021.784020691524
11.549999999999999,11.545579900623411,20.334619026770074,43770.154270080238,48274.536336385645,31.372695762805286,1518.5486308072582,1021.9624955656421
11.85,11.845078929293107,19.699078559875488,43409.431640625,48557.412187453738,31.556305597390416,1516.9801974169816,1022.2678225075489
12.149999999999999,12.144502902038786,18.920992851257324,42705.61328125,48616.402440942853,31.569026904531142,1514.781297466511,1022.4752829031053
12.45,12.443853905424318,18.118320465087891,42111.8203125,48832.862526031327,31.690593292519448,1512.587018898781,1022.7666560229848
12.75,12.743139904844615,17.543736934661865,41605.439453125,48897.255449165306,31.709081094371285,1510.9100153209004,1022.9198624654531
13.049999999999999,13.042409614306651,17.058172225952148,40922.001953125,48649.287150754884,31.504276671534758,1509.2216581876903,1022.878386282974
13.35,13.341669728668391,16.541090726852417,40433.044921875,48666.3255759662,31.4875026636722,1507.6317461924011,1022.9858504877266
13.649999999999999,13.640913404560628,16.243630886077881,40069.27734375,48576.321340897885,31.404934734463183,1506.6255900274059,1022.9911563017359
13.95,13.940154900631523,15.983327865600586,39761.154296875,48508.938106815607,31.340376627082275,1505.7483714083962,1023.0011437082537
14.249999999999998,14.239336759710334,15.459388256072998,39702.9609375,49065.201735397648,31.706760035625074,1504.5346807966805,1023.399458634603
14.549999999999999,14.538389724931754,15.017545677924719,39862.811511067724,49806.667095350684,32.2097952663097,1503.7231737860641,1023.8835839174989
14.85,14.837343160795287,14.829007863998413,39914.3916015625,50107.187879064979,32.412368310128144,1503.3621982093941,1024.0813475317364
15.149999999999999,15.136251175296613,14.672580718994142,39883.92578125,50266.361626122634,32.515103743015693,1502.9857073680505,1024.1951652973792
15.45,15.435131269531965,14.539357027581678,39830.306312316359,50367.923641919268,32.577838226101349,1502.6355433761473,1024.2730766010102
15.749999999999998,15.733980097048613,14.455601453781128,39920.462890625,50589.094348730709,32.730601795085157,1502.549033057581,1024.4098802918375
16.05,16.032797919481258,14.365636825561523,39916.55078125,50699.739671594427,32.803059423990554,1502.3482039487294,1024.4860301223787
16.35,16.331592187990594,14.267684459686279,39916.20703125,50825.771344156434,32.885863599537544,1502.133074001652,1024.5717854873628
16.650000000000002,16.630377538867346,14.225154399871826,39828.3916015625,50768.941781007554,32.841232441170476,1501.9478861470495,1024.5475735720108
16.95,16.929165503025061,14.163070661408918,39760.3835064534,50762.59705247407,32.831382435308726,1501.739744954192,1024.5542528879721
17.25,17.227943674158983,14.066550254821777,39726.716796875,50844.92556643358,32.882535330238312,1501.4906962070754,1024.6151285985723
17.55,17.526704139132409,13.980494499206543,39705.787109375,50930.327615755647,32.936684271513627,1501.278643183568,1024.6760879300387
17.85,17.825438100615813,13.801336360361622,39655.818355899959,51101.09866784286,33.044175958292385,1500.8239685493327,1024.7973361655472
